Tournament_id_female,Tournament_id_male,Tournament,City,Year,Level,Male/Female, Prize Pool Male , Prize Pool Female , Prize Male Winner , Prize Female Winner ,Attendance Tournament,Viewership Male Final,Viewership Female Final,Nr. Of Players
2010-W-SL-AUS-01A-2010,2010-580,Australian_Open,Melbourne,2010,Grand_Slam,Both," € 9,940,000.00 "," € 9,940,000.00 "," € 1,530,000.00 "," € 1,530,000.00 ",653860,3200000,2700000,256
2010-W-SL-FRA-01A-2010,2010-520,Roland_Garros,Paris,2010,Grand_Slam,Both," € 7,300,000.00 "," € 7,300,000.00 "," € 1,000,000.00 "," € 1,000,000.00 ",451500,3200000,2900000,256
2010-W-SL-USA-01A-2010,2010-560,US_Open,New York,2010,Grand_Slam,Both," € 7,750,000.00 "," € 7,750,000.00 "," € 1,200,000.00 "," € 1,200,000.00 ",721000,4000000,3000000,256
2010-W-SL-GBR-01A-2010,2010-540,Wimbledon,London,2010,Grand_Slam,Both," € 7,100,000.00 "," € 7,100,000.00 "," € 1,160,000.00 "," € 1,160,000.00 ",489946,5200000,4100000,256
2010-W-PR-USA-04A-2010,2010-422,Cincinnati_Open,Cincinnati,2010,Masters,Both," € 2,300,000.00 "," € 2,300,000.00 "," € 380,000.00 "," € 350,000.00 ",175000,1200000,1000000,56
2010-W-PM-USA-01A-2010,2010-404,Indian_Wells,Indian Wells,2010,Masters,Both," € 3,300,000.00 "," € 3,300,000.00 "," € 605,000.00 "," € 605,000.00 ",339000,1900000,1500000,96
2010-W-PM-ESP-01A-2010,2010-1536,Madrid_Open,Madrid,2010,Masters,Both," € 3,200,000.00 "," € 3,200,000.00 "," € 585,000.00 "," € 585,000.00 ",180000,2000000,2000000,56
2010-W-PM-USA-02A-2010,2010-403,Miami_Open,Miami,2010,Masters,Both," € 3,300,000.00 "," € 3,300,000.00 "," € 585,000.00 "," € 585,000.00 ",280000,2000000,2000000,96
,2010-410,Monte_Carlo_Masters,Monte Carlo,2010,Masters,Male," € 2,000,000.00 ",," € 434,000.00 ",,130000,1500000,,56
2010-W-PR-CAN-01A-2010,2010-421,Toronto_Montreal_Open,Toronto and Montreal,2010,Masters,Both," € 2,430,000.00 "," € 2,050,000.00 "," € 443,500.00 "," € 350,000.00 ",161000,1900000,1700000,56
,2010-352,Paris_Masters,Paris,2010,Masters,Male," € 2,900,000.00 ",," € 450,000.00 ",,120000,1800000,,56
,2010-451,Qatar_Open,Doha,2010,Masters,Both," € 1,000,000.00 ",," € 170,000.00 ",,60000,1000000,,56
2010-W-PR-ITA-01A-2010,2010-416,Rome_Open,Rome,2010,Masters,Both," € 2,750,000.00 "," € 2,000,000.00 "," € 434,000.00 "," € 350,000.00 ",175000,2000000,1600000,56
,2010-5014,Shanghai_Masters,Shanghai,2010,Masters,Male," € 3,000,000.00 ",," € 620,000.00 ",,152000,1800000,,56
,2010-807,Acapulco,Acapulco,2010,ATP_500,Male," € 955,000.00 ",," € 250,000.00 ",,50000,1200000,,32
,2010-328,Basel_Open,Basel,2010,ATP_500,Male," € 1,755,000.00 ",," € 341,000.00 ",,65000,1400000,,32
,2010-747,Beijing_Open,Beijing,2010,ATP_500,Male," € 2,100,000.00 ",," € 430,000.00 ",,160000,2100000,,32
,2010-414,Hamburg_Open,Hamburg,2010,ATP_500,Male," € 1,000,000.00 ",," € 228,000.00 ",,56000,1000000,,48
,2010-407,Rotterdam_Open,Rotterdam,2010,ATP_500,Male," € 1,150,000.00 ",," € 306,750.00 ",,98000,1200000,,32
,2010-495,Dubai_Duty_Free_Open,Dubai,2010,ATP_500,Male," € 1,600,000.00 ",," € 350,000.00 ",,90000,1500000,,32
,2010-425,Barcelona_Open,Barcelona,2010,ATP 500,Male," € 1,995,000.00 ",," € 286,000.00 ",,95000,1300000,,48
2010-W-INT-KOR-01A-2010,,Seoul_Open,Seoul,2010,WTA_500,Female,," € 180,000.00 ",," € 28,000.00 ",35000,,500000,32
2010-W-INT-MEX-02A-2010,,Monterrey_Open,Monterrey,2010,WTA_500,Female,," € 220,000.00 ",," € 37,000.00 ",30000,,400000,32
2010-W-PR-GBR-01A-2010,,Eastbourne_Open,Eastbourne,2010,WTA_500,Female,," € 600,000.00 ",," € 98,500.00 ",30000,,800000,28
2010-W-INT-FRA-01A-2010,,Strasbourg_Open,Strasbourg,2010,WTA_500,Female,," € 220,000.00 ",," € 37,000.00 ",15000,,500000,32
2010-W-PR-GER-01A-2010,,Stuttgart_Open,Stuttgart,2010,WTA_500,Female,," € 700,000.00 ",," € 106,000.00 ",27000,,700000,28
2010-W-PR-USA-01A-2010,,Charleston_Open,Charleston,2010,WTA_500,Female,," € 700,000.00 ",," € 106,000.00 ",25000,,500000,32
2010-W-INT-AUS-01A-2010,,Brisbane_Open,Brisbane,2010,WTA_500,Female,," € 600,000.00 ",," € 98,500.00 ",93000,,750000,30
2010-W-PR-AUS-01A-2010,,Sydney_Open,Sydney,2010,WTA_500,Female,," € 600,000.00 ",," € 98,500.00 ",78000,,850000,30
2010-W-PR-JPN-01A-2010,,Tokyo_Open,Tokyo,2010,WTA_500,Female,," € 1,700,000.00 ",," € 297,500.00 ",80000,,1200000,28
2010-W-PR-RUS-01A-2010,,Moskow_Open,Moscow,2010,WTA_500,Female,," € 1,000,000.00 ",," € 165,000.00 ",60000,,450000,32
,,Australian_Open,Melbourne,2011,Grand_Slam,Both," € 10,100,000.00 "," € 10,100,000.00 "," € 1,570,000.00 "," € 1,570,000.00 ",651127,3300000,2900000,256
,,Roland_Garros,Paris,2011,Grand_Slam,Both," € 8,000,000.00 "," € 8,000,000.00 "," € 1,200,000.00 "," € 1,200,000.00 ",456000,3400000,3100000,256
,,US_Open,New York,2011,Grand_Slam,Both," € 8,150,000.00 "," € 8,150,000.00 "," € 1,350,000.00 "," € 1,350,000.00 ",658000,4200000,3100000,256
,,Wimbledon,London,2011,Grand_Slam,Both," € 8,300,000.00 "," € 8,300,000.00 "," € 1,200,000.00 "," € 1,200,000.00 ",494761,6100000,4400000,256
,,Cincinnati_Open,Cincinnati,2011,Masters,Both," € 2,500,000.00 "," € 2,500,000.00 "," € 410,000.00 "," € 370,000.00 ",180000,1400000,1100000,56
,,Indian_Wells,Indian Wells,2011,Masters,Both," € 3,500,000.00 "," € 3,500,000.00 "," € 650,000.00 "," € 650,000.00 ",350000,2000000,1600000,96
,,Madrid_Open,Madrid,2011,Masters,Both," € 3,700,000.00 "," € 3,700,000.00 "," € 585,000.00 "," € 585,000.00 ",185000,2100000,2100000,56
,,Miami_Open,Miami,2011,Masters,Both," € 3,750,000.00 "," € 3,750,000.00 "," € 610,000.00 "," € 610,000.00 ",290000,2100000,2100000,96
,,Monte_Carlo_Masters,Monte Carlo,2011,Masters,Male," € 2,200,000.00 ",," € 434,000.00 ",,135000,1600000,,56
,,Toronto_Montreal_Open,Toronto and Montreal,2011,Masters,Both," € 2,430,000.00 "," € 2,050,000.00 "," € 450,000.00 "," € 360,000.00 ",157000,2000000,1700000,56
,,Paris_Masters,Paris,2011,Masters,Male," € 2,972,000.00 ",," € 454,000.00 ",,125000,1900000,,56
,,Qatar_Open,Doha,2011,Masters,Both," € 1,050,000.00 "," € 600,000.00 "," € 180,000.00 "," € 90,000.00 ",65000,1100000,850000,56
,,Rome_Open,Rome,2011,Masters,Both," € 2,950,000.00 "," € 2,050,000.00 "," € 550,000.00 "," € 360,000.00 ",181000,2100000,1700000,56
,,Shanghai_Masters,Shanghai,2011,Masters,Male," € 3,200,000.00 ",," € 645,000.00 ",,158000,1900000,,56
,,Acapulco,Acapulco,2011,ATP_500,Male," € 955,000.00 ",," € 250,000.00 ",,52000,1300000,,32
,,Basel_Open,Basel,2011,ATP_500,Male," € 1,755,000.00 ",," € 341,000.00 ",,66000,1500000,,32
,,Beijing_Open,Beijing,2011,ATP_500,Male," € 2,100,000.00 ",," € 430,000.00 ",,165000,2200000,,32
,,Hamburg_Open,Hamburg,2011,ATP_500,Male," € 1,115,000.00 ",," € 245,000.00 ",,58000,1100000,,48
,,Rotterdam_Open,Rotterdam,2011,ATP_500,Male," € 1,150,000.00 ",," € 306,750.00 ",,100000,1300000,,32
,,Dubai_Duty_Free_Open,Dubai,2011,ATP_500,Male," € 1,600,000.00 ",," € 350,000.00 ",,92000,1600000,,32
,,Barcelona_Open,Barcelona,2011,ATP 500,Male," € 1,995,000.00 ",," € 286,000.00 ",,97000,1400000,,48
,,Seoul_Open,Seoul,2011,WTA_500,Female,," € 180,000.00 ",," € 28,000.00 ",37000,,520000,32
