Tournament_id_female,Tournament_id_male,Tournament,City,Year,Level,Male/Female,Prize Pool Male,Prize Pool Female,Prize Male Winner,Prize Female Winner,Attendance Tournament,Viewership Male Final,Viewership Female Final,Nr. Of Players,,All prizes are converted to euro's based on exchange rates of that time
2010-W-SL-AUS-01A-2010,2010-580,Australian_Open,Melbourne,2010,Grand_Slam,Both,9940000,9940000,1530000,1530000,653860,3200000,2700000,256,,
2010-W-SL-FRA-01A-2010,2010-520,Roland_Garros,Paris,2010,Grand_Slam,Both,7300000,7300000,1000000,1000000,451500,3200000,2900000,256,,Comments
2010-W-SL-USA-01A-2010,2010-560,US_Open,New York,2010,Grand_Slam,Both,7750000,7750000,1200000,1200000,721000,4000000,3000000,256,,Viewership: Final match being watched worldwide 
2010-W-SL-GBR-01A-2010,2010-540,Wimbledon,London,2010,Grand_Slam,Both,7100000,7100000,1160000,1160000,489946,5200000,4100000,256,,"Cincinnati Open: Prize pool is the same, but male winners earn more then female winners"
2010-W-PR-USA-04A-2010,2010-422,Cincinnati_Open,Cincinnati,2010,Masters,Both,2300000,2300000,380000,350000,175000,1200000,1000000,56,,"Qatar Masters: No female tournament in 2010, 2011 onwards bigger prize pool for men"
2010-W-PM-USA-01A-2010,2010-404,Indian_Wells,Indian Wells,2010,Masters,Both,3300000,3300000,605000,605000,339000,1900000,1500000,96,,Rome Masters has bigger Prize pool than female
2010-W-PM-ESP-01A-2010,2010-1536,Madrid_Open,Madrid,2010,Masters,Both,3200000,3200000,585000,585000,180000,2000000,2000000,56,,"Some WTA 500 tournaments are combined with an ATP 250 event, likely to increase overall attendance and financial support. This approach may help ensure sufficient funding for both events' prize pools."
2010-W-PM-USA-02A-2010,2010-403,Miami_Open,Miami,2010,Masters,Both,3300000,3300000,585000,585000,280000,2000000,2000000,96,,
,2010-410,Monte_Carlo_Masters,Monte Carlo,2010,Masters,Male,2000000,,434000,,130000,1500000,,56,,
2010-W-PR-CAN-01A-2010,2010-421,Toronto_Montreal_Open,Toronto and Montreal,2010,Masters,Both,2430000,2050000,443500,350000,161000,1900000,1700000,56,,
,2010-352,Paris_Masters,Paris,2010,Masters,Male,2900000,,450000,,120000,1800000,,56,,
,2010-451,Qatar_Open,Doha,2010,Masters,Both,1000000,,170000,,60000,1000000,,56,,
2010-W-PR-ITA-01A-2010,2010-416,Rome_Open,Rome,2010,Masters,Both,2750000,2000000,434000,350000,175000,2000000,1600000,56,,
,2010-5014,Shanghai_Masters,Shanghai,2010,Masters,Male,3000000,,620000,,152000,1800000,,56,,
,2010-807,Acapulco,Acapulco,2010,ATP_500,Male,955000,,250000,,50000,1200000,,32,,
,2010-328,Basel_Open,Basel,2010,ATP_500,Male,1755000,,341000,,65000,1400000,,32,,
,2010-747,Beijing_Open,Beijing,2010,ATP_500,Male,2100000,,430000,,160000,2100000,,32,,
,2010-414,Hamburg_Open,Hamburg,2010,ATP_500,Male,1000000,,228000,,56000,1000000,,48,,
,2010-407,Rotterdam_Open,Rotterdam,2010,ATP_500,Male,1150000,,306750,,98000,1200000,,32,,
,2010-495,Dubai_Duty_Free_Open,Dubai,2010,ATP_500,Male,1600000,,350000,,90000,1500000,,32,,
,2010-425,Barcelona_Open,Barcelona,2010,ATP 500,Male,1995000,,286000,,95000,1300000,,48,,
2010-W-INT-KOR-01A-2010,,Seoul_Open,Seoul,2010,WTA_500,Female,,180000,,28000,35000,,500000,32,,
2010-W-INT-MEX-02A-2010,,Monterrey_Open,Monterrey,2010,WTA_500,Female,,220000,,37000,30000,,400000,32,,
2010-W-PR-GBR-01A-2010,,Eastbourne_Open,Eastbourne,2010,WTA_500,Female,,600000,,98500,30000,,800000,28,,
2010-W-INT-FRA-01A-2010,,Strasbourg_Open,Strasbourg,2010,WTA_500,Female,,220000,,37000,15000,,500000,32,,
2010-W-PR-GER-01A-2010,,Stuttgart_Open,Stuttgart,2010,WTA_500,Female,,700000,,106000,27000,,700000,28,,
2010-W-PR-USA-01A-2010,,Charleston_Open,Charleston,2010,WTA_500,Female,,700000,,106000,25000,,500000,32,,
2010-W-INT-AUS-01A-2010,,Brisbane_Open,Brisbane,2010,WTA_500,Female,,600000,,98500,93000,,750000,30,,
2010-W-PR-AUS-01A-2010,,Sydney_Open,Sydney,2010,WTA_500,Female,,600000,,98500,78000,,850000,30,,
2010-W-PR-JPN-01A-2010,,Tokyo_Open,Tokyo,2010,WTA_500,Female,,1700000,,297500,80000,,1200000,28,,
2010-W-PR-RUS-01A-2010,,Moskow_Open,Moscow,2010,WTA_500,Female,,1000000,,165000,60000,,450000,32,,
2011-W-SL-AUS-01A-2011,2011-580,Australian_Open,Melbourne,2011,Grand_Slam,Both,10100000,10100000,1570000,1570000,651127,3300000,2900000,256,,
2011-W-SL-FRA-01A-2011,2011-520,Roland_Garros,Paris,2011,Grand_Slam,Both,8000000,8000000,1200000,1200000,456000,3400000,3100000,256,,
